Video Name,Normal mIoU person,Overwritten mIoU person,Normal mIoU car,Overwritten mIoU car,Normal mIoU truck,Overwritten mIoU truck,Normal mIoU bus,Overwritten mIoU bus,Normal mIoU motorcycle,Overwritten mIoU motorcycle,Normal Accuracy person,Overwritten Accuracy person,Normal Accuracy car,Overwritten Accuracy car,Normal Accuracy truck,Overwritten Accuracy truck,Normal Accuracy bus,Overwritten Accuracy bus,Normal Accuracy motorcycle,Overwritten Accuracy motorcycle,Normal Precision person,Overwritten Precision person,Normal Precision car,Overwritten Precision car,Normal Precision truck,Overwritten Precision truck,Normal Precision bus,Overwritten Precision bus,Normal Precision motorcycle,Overwritten Precision motorcycle,Normal Recall person,Overwritten Recall person,Normal Recall car,Overwritten Recall car,Normal Recall truck,Overwritten Recall truck,Normal Recall bus,Overwritten Recall bus,Normal Recall motorcycle,Overwritten Recall motorcycle,Normal F1 Score person,Overwritten F1 Score person,Normal F1 Score car,Overwritten F1 Score car,Normal F1 Score truck,Overwritten F1 Score truck,Normal F1 Score bus,Overwritten F1 Score bus,Normal F1 Score motorcycle,Overwritten F1 Score motorcycle
176_lASz-Slu2gI,0.678071732183928,0.6753674792610598,0.0,0.0,0.0,0.0,0.3408193099356272,0.7259124543966818,0.0,0.0,0.9760638306820628,0.9756694906510192,0.0,0.0,0.0,0.0,0.6880069455926657,0.8652635834619343,0.0,0.0,0.6858664774276408,0.6830279548889343,0.0,0.0,0.0,0.0,0.9028987171095896,0.8947430402894995,0.0,0.0,0.9836207079699136,0.9850737515089744,0.0,0.0,0.0,0.0,0.3543128004512927,0.7949334279801042,0.0,0.0,0.8043152823310603,0.8028289865903117,0.0,0.0,0.0,0.0,0.4549264415808833,0.8403567612586688,0.0,0.0
4_X9nPISgpz9Q,0.0,0.0,0.865470355129687,0.7730274512235146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953623756858712,0.9894883723422496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994266034751817,0.7823760275402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9580617956527724,0.9853514448823808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272884094890772,0.871765120200647,0.0,0.0,0.0,0.0,0.0,0.0
2381_zHtCNhABlLw,0.0,0.0,0.1727064306429615,0.2919743278504363,0.0,0.0,0.1691497513342786,0.2641365576129125,0.0,0.0,0.0,0.0,0.8961544814987561,0.9101928832400492,0.0,0.0,0.9444744001116072,0.9576264480064656,0.0,0.0,0.0,0.0,0.560259650599328,0.7032096142716776,0.0,0.0,0.9984574347565782,0.9467403332150944,0.0,0.0,0.0,0.0,0.2026235402853371,0.338915312838561,0.0,0.0,0.1696186022382731,0.2683052807256997,0.0,0.0,0.0,0.0,0.2711587213191614,0.4357451190072812,0.0,0.0,0.2431790312099269,0.4002848715535503,0.0,0.0
176_lASz-Slu2gI,0.678071732183928,0.6753674792610598,0.0,0.0,0.0,0.0,0.3408193099356272,0.7259124543966818,0.0,0.0,0.9760638306820628,0.9756694906510192,0.0,0.0,0.0,0.0,0.6880069455926657,0.8652635834619343,0.0,0.0,0.6858664774276408,0.6830279548889343,0.0,0.0,0.0,0.0,0.9028987171095896,0.8947430402894995,0.0,0.0,0.9836207079699136,0.9850737515089744,0.0,0.0,0.0,0.0,0.3543128004512927,0.7949334279801042,0.0,0.0,0.8043152823310603,0.8028289865903117,0.0,0.0,0.0,0.0,0.4549264415808833,0.8403567612586688,0.0,0.0
256_n9wyO4WIGxg,0.0,0.0,0.0,0.0,0.4022914267898213,0.3915603805484676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7430198019801978,0.7275674032246972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4066986345978812,0.3929448483195201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9740653966390502,0.983967590785353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557458963530785,0.5455940232612086,0.0,0.0,0.0,0.0
1938_jR4wNlLJW1w,0.1871194820841722,0.1808990439363913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8189413551879086,0.8081518075980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886762416366265,0.1817126896081391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9604312696970388,0.9762963256543544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3149300655051166,0.3060254064597383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248_3N9qCBRVviA,0.8217904495393991,0.6603554583299222,0.0020374852606608,0.0030527348389503,0.0,0.0,0.0,0.0,0.0,0.0,0.9908393868786548,0.971818938078704,0.8518763515777289,0.8632558048042555,0.0,0.0,0.0,0.0,0.0,0.0,0.8737835206857171,0.6758873564095944,0.0021534660533377,0.0032412799958807,0.0,0.0,0.0,0.0,0.0,0.0,0.9332276362662464,0.9618781877107808,0.0409692477080916,0.0522976638406507,0.0,0.0,0.0,0.0,0.0,0.0,0.9010627838266524,0.7793835020948305,0.0040449025863132,0.0060567877928644,0.0,0.0,0.0,0.0,0.0,0.0
260_3lutQbIrdO8,0.3854754868976504,0.3436918032246249,0.4577516978624446,0.4748712515234263,0.604229418446489,0.7213107442643151,0.0,0.0,0.0,0.0,0.9911133937757204,0.9839995713305898,0.958252062727974,0.964531282880892,0.9540068694272976,0.9651878429355282,0.0,0.0,0.0,0.0,0.4122129053294597,0.3704591938810307,0.482123883386071,0.5125414951547187,0.8106588448771337,0.8217664762020255,0.0,0.0,0.0,0.0,0.4137368560124745,0.4103553676734516,0.7538349926740161,0.7506335062389144,0.7194436135366904,0.8592837844029652,0.0,0.0,0.0,0.0,0.4123443168942703,0.3871766732804411,0.5656409643192726,0.5833176148305189,0.7395102131322479,0.8301515591984645,0.0,0.0,0.0,0.0
2157_jS6kQVDQmgw,0.3329022481751335,0.3535921365859097,0.496570320199116,0.599904994245939,0.0,0.0,0.0,0.0,0.0,0.0,0.9099182098765431,0.9035434777949248,0.9451652922453704,0.9551115719307272,0.0,0.0,0.0,0.0,0.0,0.0,0.4919797753307143,0.4947085439095924,0.6928329023068989,0.7163828365100959,0.0,0.0,0.0,0.0,0.0,0.0,0.4912080526005042,0.5628779848494594,0.6776000451430363,0.8074333844147439,0.0,0.0,0.0,0.0,0.0,0.0,0.4867399806598795,0.5201043281886697,0.6412358776390136,0.741420935699235,0.0,0.0,0.0,0.0,0.0,0.0
74_8V3wV2iJE-4,0.321218399412543,0.3502781171634007,0.283648107610606,0.4459746993490207,0.0,0.0,0.0,0.0,0.0,0.0,0.7079295803326475,0.7494130765603566,0.5796367241083675,0.6639937092764061,0.0,0.0,0.0,0.0,0.0,0.0,0.3431539745596192,0.3752523081376803,0.8977512672909296,0.883078306050638,0.0,0.0,0.0,0.0,0.0,0.0,0.853525782113831,0.8453050039567719,0.2951838404201048,0.4771118944878019,0.0,0.0,0.0,0.0,0.0,0.0,0.4842459674463883,0.5171344638638705,0.4339958462490066,0.6138972964057191,0.0,0.0,0.0,0.0,0.0,0.0
