Video Name,Fusion Threshold,Normal mIoU road,Overwritten mIoU road,Normal mIoU sidewalk,Overwritten mIoU sidewalk,Normal mIoU building,Overwritten mIoU building,Normal mIoU wall,Overwritten mIoU wall,Normal mIoU fence,Overwritten mIoU fence,Normal mIoU pole,Overwritten mIoU pole,Normal mIoU traffic light,Overwritten mIoU traffic light,Normal mIoU traffic sign,Overwritten mIoU traffic sign,Normal mIoU vegetation,Overwritten mIoU vegetation,Normal mIoU sky,Overwritten mIoU sky,Normal mIoU person,Overwritten mIoU person,Normal mIoU car,Overwritten mIoU car,Normal mIoU truck,Overwritten mIoU truck,Normal mIoU bus,Overwritten mIoU bus,Normal mIoU motorcycle,Overwritten mIoU motorcycle,Normal mIoU bicycle,Overwritten mIoU bicycle,Normal Accuracy road,Overwritten Accuracy road,Normal Accuracy sidewalk,Overwritten Accuracy sidewalk,Normal Accuracy building,Overwritten Accuracy building,Normal Accuracy wall,Overwritten Accuracy wall,Normal Accuracy fence,Overwritten Accuracy fence,Normal Accuracy pole,Overwritten Accuracy pole,Normal Accuracy traffic light,Overwritten Accuracy traffic light,Normal Accuracy traffic sign,Overwritten Accuracy traffic sign,Normal Accuracy vegetation,Overwritten Accuracy vegetation,Normal Accuracy sky,Overwritten Accuracy sky,Normal Accuracy person,Overwritten Accuracy person,Normal Accuracy car,Overwritten Accuracy car,Normal Accuracy truck,Overwritten Accuracy truck,Normal Accuracy bus,Overwritten Accuracy bus,Normal Accuracy motorcycle,Overwritten Accuracy motorcycle,Normal Accuracy bicycle,Overwritten Accuracy bicycle,Normal Precision road,Overwritten Precision road,Normal Precision sidewalk,Overwritten Precision sidewalk,Normal Precision building,Overwritten Precision building,Normal Precision wall,Overwritten Precision wall,Normal Precision fence,Overwritten Precision fence,Normal Precision pole,Overwritten Precision pole,Normal Precision traffic light,Overwritten Precision traffic light,Normal Precision traffic sign,Overwritten Precision traffic sign,Normal Precision vegetation,Overwritten Precision vegetation,Normal Precision sky,Overwritten Precision sky,Normal Precision person,Overwritten Precision person,Normal Precision car,Overwritten Precision car,Normal Precision truck,Overwritten Precision truck,Normal Precision bus,Overwritten Precision bus,Normal Precision motorcycle,Overwritten Precision motorcycle,Normal Precision bicycle,Overwritten Precision bicycle,Normal Recall road,Overwritten Recall road,Normal Recall sidewalk,Overwritten Recall sidewalk,Normal Recall building,Overwritten Recall building,Normal Recall wall,Overwritten Recall wall,Normal Recall fence,Overwritten Recall fence,Normal Recall pole,Overwritten Recall pole,Normal Recall traffic light,Overwritten Recall traffic light,Normal Recall traffic sign,Overwritten Recall traffic sign,Normal Recall vegetation,Overwritten Recall vegetation,Normal Recall sky,Overwritten Recall sky,Normal Recall person,Overwritten Recall person,Normal Recall car,Overwritten Recall car,Normal Recall truck,Overwritten Recall truck,Normal Recall bus,Overwritten Recall bus,Normal Recall motorcycle,Overwritten Recall motorcycle,Normal Recall bicycle,Overwritten Recall bicycle,Normal F1 Score road,Overwritten F1 Score road,Normal F1 Score sidewalk,Overwritten F1 Score sidewalk,Normal F1 Score building,Overwritten F1 Score building,Normal F1 Score wall,Overwritten F1 Score wall,Normal F1 Score fence,Overwritten F1 Score fence,Normal F1 Score pole,Overwritten F1 Score pole,Normal F1 Score traffic light,Overwritten F1 Score traffic light,Normal F1 Score traffic sign,Overwritten F1 Score traffic sign,Normal F1 Score vegetation,Overwritten F1 Score vegetation,Normal F1 Score sky,Overwritten F1 Score sky,Normal F1 Score person,Overwritten F1 Score person,Normal F1 Score car,Overwritten F1 Score car,Normal F1 Score truck,Overwritten F1 Score truck,Normal F1 Score bus,Overwritten F1 Score bus,Normal F1 Score motorcycle,Overwritten F1 Score motorcycle,Normal F1 Score bicycle,Overwritten F1 Score bicycle
176_lASz-Slu2gI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678071732183928,0.6753674792610598,0.0,0.0,0.0,0.0,0.3408193099356272,0.7259124543966818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9760638306820629,0.9756694906510193,0.0,0.0,0.0,0.0,0.6880069455926657,0.8652635834619343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6858664774276408,0.6830279548889343,0.0,0.0,0.0,0.0,0.9028987171095897,0.8947430402894995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9836207079699135,0.9850737515089745,0.0,0.0,0.0,0.0,0.3543128004512927,0.7949334279801042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8043152823310603,0.8028289865903117,0.0,0.0,0.0,0.0,0.4549264415808833,0.8403567612586688,0.0,0.0,0.0,0.0
4_X9nPISgpz9Q,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.865470355129687,0.7730274512235146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953623756858712,0.9894883723422497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994266034751817,0.7823760275402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9580617956527723,0.9853514448823807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9272884094890772,0.871765120200647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2381_zHtCNhABlLw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1727064306429615,0.2919743278504363,0.0,0.0,0.1691497513342786,0.26413655761291255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8961544814987561,0.9101928832400493,0.0,0.0,0.9444744001116073,0.9576264480064655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560259650599328,0.7032096142716776,0.0,0.0,0.9984574347565782,0.9467403332150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2026235402853371,0.338915312838561,0.0,0.0,0.1696186022382731,0.26830528072569976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27115872131916147,0.4357451190072812,0.0,0.0,0.24317903120992693,0.4002848715535503,0.0,0.0,0.0,0.0
176_lASz-Slu2gI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678071732183928,0.6753674792610598,0.0,0.0,0.0,0.0,0.3408193099356272,0.7259124543966818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9760638306820629,0.9756694906510193,0.0,0.0,0.0,0.0,0.6880069455926657,0.8652635834619343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6858664774276408,0.6830279548889343,0.0,0.0,0.0,0.0,0.9028987171095897,0.8947430402894995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9836207079699135,0.9850737515089745,0.0,0.0,0.0,0.0,0.3543128004512927,0.7949334279801042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8043152823310603,0.8028289865903117,0.0,0.0,0.0,0.0,0.4549264415808833,0.8403567612586688,0.0,0.0,0.0,0.0
256_n9wyO4WIGxg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4022914267898213,0.39156038054846765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7430198019801978,0.7275674032246972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4066986345978812,0.3929448483195201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9740653966390502,0.983967590785353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557458963530785,0.5455940232612086,0.0,0.0,0.0,0.0,0.0,0.0
1938_jR4wNlLJW1w,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1871194820841722,0.18089904393639133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8189413551879086,0.8081518075980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886762416366265,0.1817126896081391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9604312696970387,0.9762963256543543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3149300655051166,0.3060254064597383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248_3N9qCBRVviA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8217904495393991,0.6603554583299222,0.002037485260660879,0.0030527348389503025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9908393868786547,0.9718189380787039,0.8518763515777289,0.8632558048042555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8737835206857171,0.6758873564095944,0.0021534660533377285,0.0032412799958807777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9332276362662464,0.9618781877107809,0.04096924770809169,0.052297663840650786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9010627838266524,0.7793835020948305,0.004044902586313281,0.006056787792864497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260_3lutQbIrdO8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38547548689765043,0.34369180322462495,0.45775169786244463,0.47487125152342635,0.604229418446489,0.7213107442643151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9911133937757203,0.9839995713305898,0.9582520627279741,0.964531282880892,0.9540068694272976,0.9651878429355282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41221290532945976,0.3704591938810307,0.482123883386071,0.5125414951547187,0.8106588448771337,0.8217664762020255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41373685601247456,0.41035536767345165,0.7538349926740161,0.7506335062389144,0.7194436135366904,0.8592837844029652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4123443168942703,0.38717667328044114,0.5656409643192726,0.5833176148305189,0.7395102131322479,0.8301515591984645,0.0,0.0,0.0,0.0,0.0,0.0
2157_jS6kQVDQmgw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33290224817513353,0.3535921365859097,0.49657032019911607,0.599904994245939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9099182098765433,0.9035434777949247,0.9451652922453704,0.9551115719307272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4919797753307143,0.4947085439095924,0.6928329023068989,0.7163828365100959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49120805260050426,0.5628779848494594,0.6776000451430363,0.8074333844147439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4867399806598795,0.5201043281886697,0.6412358776390136,0.741420935699235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74_8V3wV2iJE-4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321218399412543,0.3502781171634007,0.28364810761060605,0.4459746993490207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7079295803326475,0.7494130765603566,0.5796367241083675,0.6639937092764061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34315397455961927,0.37525230813768035,0.8977512672909296,0.883078306050638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.853525782113831,0.8453050039567719,0.29518384042010487,0.4771118944878019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48424596744638837,0.5171344638638705,0.43399584624900667,0.6138972964057191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
